fortna_name,device_type,direction,fortna_bank,fortna_bit,module_data_ref,mapped,notes
"EZPWS229_AUX","power_supply","I","1001","15","T_1794_AENT_1:4:I.Data.5",Y,"alt=T_1794_AENT_1:I.Data[4].5; type=1794-IA16; word=1001; eip=103; via=configio"
"SSVEZPE209_P","digital_out","O","1007","0","T_1794_AENT_5:7:O.Data.0",Y,"alt=T_1794_AENT_5:O.Data[7].0; type=1794-OB16P; word=1007; eip=1007"
"SSVEZPE212_P1","digital_out","O","106","0","T_1794_AENT_1:7:O.Data.0",Y,"alt=T_1794_AENT_1:O.Data[7].0; type=1794-OB16P; word=106; eip=106"
"SSVEZPE213_P","digital_out","O","1007","1","T_1794_AENT_5:7:O.Data.1",Y,"alt=T_1794_AENT_5:O.Data[7].1; type=1794-OB16P; word=1007; eip=1007"
"SSVEZPE214_P","digital_out","O","421","1","T_1794_AENT_4:2:O.Data.1",Y,"alt=T_1794_AENT_4:O.Data[2].1; type=1794-OB16P; word=421; eip=421"
"SSVEZPE217_P","digital_out","O","1007","2","T_1794_AENT_5:7:O.Data.2",Y,"alt=T_1794_AENT_5:O.Data[7].2; type=1794-OB16P; word=1007; eip=1007"
"SSVEZPE229_P","digital_out","O","1007","3","T_1794_AENT_5:7:O.Data.3",Y,"alt=T_1794_AENT_5:O.Data[7].3; type=1794-OB16P; word=1007; eip=1007"
"WB215","beacon","O","1003","5","T_1794_AENT_5:8:O.Data.5",Y,"alt=T_1794_AENT_5:O.Data[8].5; type=1794-OB16P; word=1003; eip=84; via=configio"
"LS305","digital_in","I","105","14","T_1794_AENT_1:6:I.Data.12",Y,"alt=T_1794_AENT_1:I.Data[6].12; type=1794-IA16; word=105; eip=105"
"EZPWS304","power_supply","O","105","11","T_1794_AENT_1:6:I.Data.9",Y,"alt=T_1794_AENT_1:I.Data[6].9; type=1794-IA16; word=105"
"PWS305","power_supply","O","105","12","T_1794_AENT_1:6:I.Data.10",Y,"alt=T_1794_AENT_1:I.Data[6].10; type=1794-IA16; word=105"
"SSVEZPE304_P","digital_out","O","106","1","T_1794_AENT_1:7:O.Data.1",Y,"alt=T_1794_AENT_1:O.Data[7].1; type=1794-OB16P; word=106; eip=106"
"PRS424","digital_in","I","422","5","T_1794_AENT_4:1:I.Data.5",Y,"alt=T_1794_AENT_4:I.Data[1].5; type=1794-IB16; word=422; eip=82; via=configio"
"ENC414","encoder","I","422","10","T_1794_AENT_4:1:I.Data.0",Y,"alt=T_1794_AENT_4:I.Data[1].0; type=1794-IB16; word=422; eip=82; via=configio"
"ENC424","encoder","I","422","11","T_1794_AENT_4:1:I.Data.1",Y,"alt=T_1794_AENT_4:I.Data[1].1; type=1794-IB16; word=422; eip=82; via=configio"
"EZPWS408","power_supply","O","412","2","",N,"UNMAPPED word 412 \u2014 not in Configio/EIPCSV (other panel/PLC bank, or missing module)"
"EZPWS418","power_supply","O","412","3","",N,"UNMAPPED word 412 \u2014 not in Configio/EIPCSV (other panel/PLC bank, or missing module)"
"EZPWS450","power_supply","O","412","4","",N,"UNMAPPED word 412 \u2014 not in Configio/EIPCSV (other panel/PLC bank, or missing module)"
"EZPWS456","power_supply","O","412","5","",N,"UNMAPPED word 412 \u2014 not in Configio/EIPCSV (other panel/PLC bank, or missing module)"
"SSVEZPE408_P","digital_out","O","421","2","T_1794_AENT_4:2:O.Data.2",Y,"alt=T_1794_AENT_4:O.Data[2].2; type=1794-OB16P; word=421; eip=421"
"SSVEZPE418_P","digital_out","O","421","3","T_1794_AENT_4:2:O.Data.3",Y,"alt=T_1794_AENT_4:O.Data[2].3; type=1794-OB16P; word=421; eip=421"
"SSVEZPE450_P","digital_out","O","421","4","T_1794_AENT_4:2:O.Data.4",Y,"alt=T_1794_AENT_4:O.Data[2].4; type=1794-OB16P; word=421; eip=421"
"SSVEZPE456_P","digital_out","O","421","5","T_1794_AENT_4:2:O.Data.5",Y,"alt=T_1794_AENT_4:O.Data[2].5; type=1794-OB16P; word=421; eip=421"
"WB414","beacon","O","413","4","",N,"UNMAPPED word 413 \u2014 not in Configio/EIPCSV (other panel/PLC bank, or missing module)"
"WB462","beacon","O","413","5","",N,"UNMAPPED word 413 \u2014 not in Configio/EIPCSV (other panel/PLC bank, or missing module)"
"EZPWS828","power_supply","O","412","6","",N,"UNMAPPED word 412 \u2014 not in Configio/EIPCSV (other panel/PLC bank, or missing module)"
"EZPWS832","power_supply","O","412","7","",N,"UNMAPPED word 412 \u2014 not in Configio/EIPCSV (other panel/PLC bank, or missing module)"
"SSVEZPE828_P","digital_out","O","421","6","T_1794_AENT_4:2:O.Data.6",Y,"alt=T_1794_AENT_4:O.Data[2].6; type=1794-OB16P; word=421; eip=421"
"SSVEZPE832_P","digital_out","O","421","7","T_1794_AENT_4:2:O.Data.7",Y,"alt=T_1794_AENT_4:O.Data[2].7; type=1794-OB16P; word=421; eip=421"
