"Timer_Name"~"Timer_Address"~"General_Description"~"Invert"~"Start"~"Timing"~"Keep"~"Done"~"Retentative"~"Reset_Bit"~"Preset_Value"~"Accumulated"~"Retained"~"Start_Time"~"Owner"~"Changed"
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
